"TxnID","processedAt","AccountNumber","TxnTimestamp","CustomerID","TxnType","PayeeUPI","Amount","EventID","id","GeoLocation","PayerUPI","txn_type","fraud_flags","DeviceID","Status","IngestionTimestamp","SourceSystem","Amount_INR","Currency_Normalized","TxnTimestamp_UTC"
"TXN000152","2025-12-09T04:43:23.332924","1002003232","2025-01-01T00:12:35Z","CUST217","CREDIT","store230@upi",95000,"UPI000152","TXN000152","19.9954,77.1258","user231@upi","UPI","['High-value transaction','Unusual UPI Transfer']","DEV049","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",95000,"INR","2025-01-01 00:12:35.000000000"
"TXN000178","2025-12-09T04:43:31.283179","1002003094","2025-01-01T00:14:45Z","CUST327","DEBIT","store465@upi",999,"UPI000178","TXN000178","13.3143,81.4129","user472@upi","UPI","[]","DEV220","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",999,"INR","2025-01-01 00:14:45.000000000"
"TXN000537","2025-12-09T04:44:32.756323","1002003111","2025-01-01T00:44:40Z","CUST099","CREDIT","store118@upi",95000,"UPI000537","TXN000537","22.2507,80.346","user310@upi","UPI","['High-value transaction','Unusual UPI Transfer']","DEV122","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",95000,"INR","2025-01-01 00:44:40.000000000"
"TXN000552","2025-12-09T04:44:34.570326","1002003086","2025-01-01T00:45:55Z","CUST446","DEBIT","store345@upi",2500,"UPI000552","TXN000552","22.6664,87.4491","user370@upi","UPI","[]","DEV117","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",2500,"INR","2025-01-01 00:45:55.000000000"
"TXN000763","2025-12-09T04:44:55.598342","1002003318","2025-01-01T01:03:30Z","CUST255","DEBIT","store40@upi",5000,"UPI000763","TXN000763","26.648,76.6681","user109@upi","UPI","[]","DEV226","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",5000,"INR","2025-01-01 01:03:30.000000000"
"TXN000939","2025-12-09T04:45:12.285557","1002003221","2025-01-01T01:18:10Z","CUST106","DEBIT","store152@upi",2500,"UPI000939","TXN000939","18.5264,73.8281","user466@upi","UPI","[]","DEV017","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",2500,"INR","2025-01-01 01:18:10.000000000"
"TXN001128","2025-12-09T04:45:30.523016","1002003002","2025-01-01T01:33:55Z","CUST280","CREDIT","store18@upi",150,"UPI001128","TXN001128","17.327,84.1616","user122@upi","UPI","[]","DEV053","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",150,"INR","2025-01-01 01:33:55.000000000"
"TXN001241","2025-12-09T04:45:40.801232","1002003429","2025-01-01T01:43:20Z","CUST466","CREDIT","store177@upi",95000,"UPI001241","TXN001241","21.6666,73.4048","user284@upi","UPI","['High-value transaction','Unusual UPI Transfer']","DEV061","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",95000,"INR","2025-01-01 01:43:20.000000000"
"TXN001451","2025-12-09T04:46:01.452265","1002003360","2025-01-01T02:00:50Z","CUST192","DEBIT","store184@upi",999,"UPI001451","TXN001451","18.6199,86.3946","user384@upi","UPI","[]","DEV201","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",999,"INR","2025-01-01 02:00:50.000000000"
"TXN001647","2025-12-09T04:46:20.998777","1002003384","2025-01-01T02:17:10Z","CUST479","DEBIT","store465@upi",95000,"UPI001647","TXN001647","13.8641,72.6467","user387@upi","UPI","['High-value transaction','Unusual UPI Transfer']","DEV268","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",95000,"INR","2025-01-01 02:17:10.000000000"
"TXN001698","2025-12-09T04:46:26.883689","1002003269","2025-01-01T02:21:25Z","CUST022","DEBIT","store24@upi",150,"UPI001698","TXN001698","22.4848,77.1948","user308@upi","UPI","[]","DEV221","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",150,"INR","2025-01-01 02:21:25.000000000"
"TXN001742","2025-12-09T04:46:31.435228","1002003247","2025-01-01T02:25:05Z","CUST119","CREDIT","store40@upi",150,"UPI001742","TXN001742","23.2935,78.3974","user60@upi","UPI","[]","DEV001","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",150,"INR","2025-01-01 02:25:05.000000000"
"TXN001815","2025-12-09T04:46:39.052005","1002003379","2025-01-01T02:31:10Z","CUST223","DEBIT","store235@upi",5000,"UPI001815","TXN001815","25.9377,86.6268","user438@upi","UPI","[]","DEV179","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",5000,"INR","2025-01-01 02:31:10.000000000"
"TXN001875","2025-12-09T04:46:45.471767","1002003044","2025-01-01T02:36:10Z","CUST112","CREDIT","store52@upi",95000,"UPI001875","TXN001875","13.2031,83.1468","user213@upi","UPI","['High-value transaction','Unusual UPI Transfer']","DEV255","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",95000,"INR","2025-01-01 02:36:10.000000000"
"TXN002020","2025-12-09T04:47:00.005936","1002003478","2025-01-01T02:48:15Z","CUST300","CREDIT","store380@upi",5000,"UPI002020","TXN002020","19.6163,74.3893","user51@upi","UPI","[]","DEV161","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",5000,"INR","2025-01-01 02:48:15.000000000"
"TXN002084","2025-12-09T04:47:06.706111","1002003340","2025-01-01T02:53:35Z","CUST175","DEBIT","store61@upi",999,"UPI002084","TXN002084","23.173,75.647","user325@upi","UPI","[]","DEV060","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",999,"INR","2025-01-01 02:53:35.000000000"
"TXN002201","2025-12-09T04:47:19.998336","1002003144","2025-01-01T03:03:20Z","CUST451","CREDIT","store470@upi",2500,"UPI002201","TXN002201","27.3059,82.2487","user87@upi","UPI","[]","DEV294","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",2500,"INR","2025-01-01 03:03:20.000000000"
"TXN002224","2025-12-09T04:47:22.085077","1002003250","2025-01-01T03:05:15Z","CUST244","CREDIT","store234@upi",75000,"UPI002224","TXN002224","27.1685,82.2335","user157@upi","UPI","['High-value transaction','Unusual UPI Transfer']","DEV047","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",75000,"INR","2025-01-01 03:05:15.000000000"
"TXN002274","2025-12-09T04:47:27.140305","1002003166","2025-01-01T03:09:25Z","CUST120","CREDIT","store178@upi",2500,"UPI002274","TXN002274","20.0829,82.6754","user469@upi","UPI","[]","DEV038","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",2500,"INR","2025-01-01 03:09:25.000000000"
"TXN002410","2025-12-09T04:47:41.317780","1002003180","2025-01-01T03:20:45Z","CUST067","CREDIT","store199@upi",499,"UPI002410","TXN002410","17.5102,86.5908","user306@upi","UPI","[]","DEV124","SUCCESS","2025-12-09 09:40:50.881000000","Cosmos_UPI",499,"INR","2025-01-01 03:20:45.000000000"
